tag_id,subject_id,scoring,allowed_values,consuming_rules,rule_status,statement_id,txn_date,txn_amount,txn_direction,txn_description,golden_label,labeler_note
txn.is_money_in,txncb49a70b58c386c4,enum,in | out | unknown,"AS-1, AS-7, AS-8, AS-12",LIVE,doce9fa604faeb2faaa,2026-03-27,4821.23,credit,PAYROLL DIRECT DEPOSIT,,
txn.is_money_in,txn213189a8893c9582,enum,in | out | unknown,"AS-1, AS-7, AS-8, AS-12",LIVE,doce9fa604faeb2faaa,2026-04-01,147.70,credit,INBOUND PAYMENT RECEIVED,,
txn.is_money_in,txn688a9f5f6d5489be,enum,in | out | unknown,"AS-1, AS-7, AS-8, AS-12",LIVE,doce9fa604faeb2faaa,2026-04-10,4979.44,credit,PAYROLL DIRECT DEPOSIT,,
txn.is_money_in,txn00ad0311b998366a,enum,in | out | unknown,"AS-1, AS-7, AS-8, AS-12",LIVE,doce9fa604faeb2faaa,2026-04-20,0.16,credit,INTEREST EARNED,,
txn.is_money_in,txn95bbbf2200115968,enum,in | out | unknown,"AS-1, AS-7, AS-8, AS-12",LIVE,doce9fa604faeb2faaa,2026-03-25,70.00,debit,CARD PURCHASE / PAYMENT,,
txn.is_money_in,txn59e3fd0f3ca9bebd,enum,in | out | unknown,"AS-1, AS-7, AS-8, AS-12",LIVE,doce9fa604faeb2faaa,2026-04-06,55.00,debit,CARD PURCHASE / PAYMENT,,
txn.is_money_in,txn452d5793885d4fe2,enum,in | out | unknown,"AS-1, AS-7, AS-8, AS-12",LIVE,doce9fa604faeb2faaa,2026-04-06,120.96,debit,CARD PURCHASE / PAYMENT,,
txn.is_money_in,txn0717e2c79fd6c217,enum,in | out | unknown,"AS-1, AS-7, AS-8, AS-12",LIVE,doce9fa604faeb2faaa,2026-04-17,147.00,debit,CARD PURCHASE / PAYMENT,,
txn.is_money_in,txn85a483fb4f55fdf2,enum,in | out | unknown,"AS-1, AS-7, AS-8, AS-12",LIVE,doce9fa604faeb2faaa,2026-03-20,150.00,debit,CARD PURCHASE / PAYMENT,,
txn.is_money_in,txnd493f6a4a4855429,enum,in | out | unknown,"AS-1, AS-7, AS-8, AS-12",LIVE,doce9fa604faeb2faaa,2026-03-25,292.56,debit,CARD PURCHASE / PAYMENT,,
txn.is_money_in,txn31ed1ed1e33617fc,enum,in | out | unknown,"AS-1, AS-7, AS-8, AS-12",LIVE,doce9fa604faeb2faaa,2026-04-02,806.23,debit,CARD PURCHASE / PAYMENT,,
txn.is_money_in,txnbac95aa96f7c7b52,enum,in | out | unknown,"AS-1, AS-7, AS-8, AS-12",LIVE,doce9fa604faeb2faaa,2026-04-06,14316.35,debit,CARD PURCHASE / PAYMENT,,
txn.is_money_in,txn0886ee86b15121b3,enum,in | out | unknown,"AS-1, AS-7, AS-8, AS-12",LIVE,doce9fa604faeb2faaa,2026-04-06,319.00,debit,CARD PURCHASE / PAYMENT,,
txn.is_money_in,txnf2b927281712cbda,enum,in | out | unknown,"AS-1, AS-7, AS-8, AS-12",LIVE,doce9fa604faeb2faaa,2026-04-06,1.95,debit,CARD PURCHASE / PAYMENT,,
txn.is_money_in,txn7cab91d66207e0f4,enum,in | out | unknown,"AS-1, AS-7, AS-8, AS-12",LIVE,doce9fa604faeb2faaa,2026-04-08,2231.39,debit,CARD PURCHASE / PAYMENT,,
txn.is_money_in,txn7e16f85ab1785a86,enum,in | out | unknown,"AS-1, AS-7, AS-8, AS-12",LIVE,doce9fa604faeb2faaa,2026-04-13,200.00,debit,CARD PURCHASE / PAYMENT,,
txn.is_money_in,txnebf90685ced93f04,enum,in | out | unknown,"AS-1, AS-7, AS-8, AS-12",LIVE,doce9fa604faeb2faaa,2026-04-17,754.11,debit,CARD PURCHASE / PAYMENT,,
txn.is_money_in,txn4dee9660e8bb06d9,enum,in | out | unknown,"AS-1, AS-7, AS-8, AS-12",LIVE,doce9fa604faeb2faaa,2026-04-20,2485.10,debit,CARD PURCHASE / PAYMENT,,
txn.is_money_in,txn64469aab841aa5fa,enum,in | out | unknown,"AS-1, AS-7, AS-8, AS-12",LIVE,doc78c0460250e6cefb,2026-04-24,5048.18,credit,PAYROLL DIRECT DEPOSIT,,
txn.is_money_in,txn9c4a06040259a939,enum,in | out | unknown,"AS-1, AS-7, AS-8, AS-12",LIVE,doc78c0460250e6cefb,2026-05-06,2000.0,,ONLINE TRANSFER FROM OWN ACCOUNT,,
txn.is_money_in,txnf3378c6ef230360e,enum,in | out | unknown,"AS-1, AS-7, AS-8, AS-12",LIVE,doc78c0460250e6cefb,2026-05-08,5048.18,credit,PAYROLL DIRECT DEPOSIT,,
txn.is_money_in,txn4ee6ca6dbc284e15,enum,in | out | unknown,"AS-1, AS-7, AS-8, AS-12",LIVE,doc78c0460250e6cefb,2026-05-18,0.07,credit,INTEREST EARNED,,
txn.is_money_in,txn43045852d8e61560,enum,in | out | unknown,"AS-1, AS-7, AS-8, AS-12",LIVE,doc78c0460250e6cefb,2026-04-29,100.0,debit,CARD PURCHASE / PAYMENT,,
txn.is_money_in,txn1b30e74a550ec463,enum,in | out | unknown,"AS-1, AS-7, AS-8, AS-12",LIVE,doc78c0460250e6cefb,2026-05-01,634.0,debit,CARD PURCHASE / PAYMENT,,
txn.is_money_in,txn8d5575f1ab75d7f2,enum,in | out | unknown,"AS-1, AS-7, AS-8, AS-12",LIVE,doc78c0460250e6cefb,2026-05-04,121.5,debit,CARD PURCHASE / PAYMENT,,
txn.is_money_in,txn0a4173697c188cb2,enum,in | out | unknown,"AS-1, AS-7, AS-8, AS-12",LIVE,doc78c0460250e6cefb,2026-05-05,120.94,debit,CARD PURCHASE / PAYMENT,,
txn.is_money_in,txn966e4df0f76935b9,enum,in | out | unknown,"AS-1, AS-7, AS-8, AS-12",LIVE,doc78c0460250e6cefb,2026-04-22,192.3,debit,CARD PURCHASE / PAYMENT,,
txn.is_money_in,txn191c6234d497849b,enum,in | out | unknown,"AS-1, AS-7, AS-8, AS-12",LIVE,doc78c0460250e6cefb,2026-05-04,806.23,debit,CARD PURCHASE / PAYMENT,,
